transaction_id,timestamp,user_id,amount,merchant_category,is_fraud
404236b2-7758-48f9-b828-0d6dc3ee4f81,2024-03-12 18:20:00,user_0615,240.81,electronics,0
e112f4d3-cc02-49bf-a2df-b8c9d0792e0b,2024-04-09 15:39:00,user_0664,4.79,restaurant,0
dc7599e9-e043-483f-94ef-1d1725461880,2024-10-20 19:01:00,user_0192,280.28,travel,0
201eb149-758c-4f86-9b0d-e49612728f15,2024-09-09 13:43:00,user_0857,29.02,grocery,0
565a6b12-e6f0-4d69-b002-d4aceaa032a7,2024-07-06 19:15:00,user_0783,40.85,online_retail,0
fb7c469b-cfdc-4b94-b38d-ebc89654b272,2024-02-24 19:51:00,user_0832,77.07,grocery,0
484f2837-2ca8-45a8-bc10-e7183b22266d,2024-11-24 12:38:00,user_0274,74.83,travel,0
434f206d-f2b6-44ac-a741-01ea87ca69f0,2024-09-21 17:25:00,user_0565,66.28,electronics,0
868acb4c-9bfb-4e8d-b1e9-d0864fd92386,2024-09-20 14:46:00,user_0035,46.41,online_retail,0
a45300b1-8c3d-4d53-ae15-18a6192aa7c5,2024-01-02 11:05:00,user_0566,16.09,electronics,0
a6e8793a-4c39-4adc-b12b-f877bb04a5a8,2024-08-05 09:43:00,user_0162,2.55,electronics,0
306ef21b-5c60-444a-8bbf-0af0bfe3a5db,2024-08-02 15:59:00,user_0702,72.88,entertainment,0
b815bd59-7e34-4cfe-869d-f07a3d3d0ca5,2024-10-06 12:25:00,user_0217,110.05,travel,0
67f440dd-0750-4eb7-951a-83402f15c4c3,2024-01-15 20:44:00,user_0065,25.84,grocery,0
b67a046e-8b5d-497d-8132-a082ed0e6431,2024-05-15 19:23:00,user_0063,118.36,restaurant,0
767ec370-f9ec-4ebc-aba1-c1ff546653f6,2024-10-15 10:58:00,user_0773,99.4,electronics,0
5183bae2-9ce5-4b29-8855-6932972e1993,2024-07-19 14:07:00,user_0780,9.85,electronics,0
db0d0921-9bc8-4078-86a1-6de16131f98d,2024-08-03 21:36:00,user_0099,37.07,travel,0
84783bbf-af3e-4e9f-9ea4-90af671369a9,2024-08-14 08:36:00,user_0943,174.58,online_retail,0
fa4e7fbd-2805-4ba5-b05a-d6f8c6cca183,2024-09-11 14:13:00,user_0871,102.33,restaurant,0
6d20c4d6-d443-4fcb-b6c8-6b3db5fe46f1,2024-06-27 17:31:00,user_0743,44.63,grocery,0
a80394c8-0c62-40ba-a801-22897fc1a29d,2024-08-18 21:44:00,user_0655,56.83,restaurant,0
2c730ccb-66cf-40b3-8271-f0066c8e984f,2024-07-05 14:50:00,user_0086,228.97,travel,0
7d174df8-eec0-4479-a810-5411813b1dfd,2024-05-13 16:27:00,user_0028,132.07,travel,0
4a340a2c-3e9d-4bc4-9798-e55fc3cb7654,2024-05-07 18:57:00,user_0348,178.47,grocery,0
6c610edb-7f21-4840-b57f-39d2db287639,2024-10-09 16:56:00,user_0628,9.33,gas_station,0
a6e55388-648e-4146-962e-206e5ef7cdb2,2024-05-16 15:36:00,user_0225,0.56,restaurant,0
07da67b9-3938-400c-a8b8-221ad47fb688,2024-06-08 18:31:00,user_0472,22.39,grocery,0
490b4639-f4e4-4db7-acfb-b469f7be6bf8,2024-02-21 17:11:00,user_0510,5.37,pharmacy,0
f833ad5b-4812-46a4-8392-dbbca56bcadf,2024-03-21 08:58:00,user_0113,28.63,electronics,0
a2af30de-116d-45f7-b211-04b1632dedab,2024-08-11 12:32:00,user_0385,4.23,restaurant,0
0835c2ef-4c93-44a0-806a-2e7cfbdd15d0,2024-06-08 17:05:00,user_0416,60.56,pharmacy,0
3e2a8bd5-1059-4cb3-9fea-a3be3c7fbea4,2024-09-11 18:37:00,user_0280,114.71,gas_station,0
c9e13bf5-e59a-4cf7-8399-cfa5b5b1173a,2024-08-27 18:15:00,user_0609,80.31,grocery,0
6e3769a6-4051-4b2e-85eb-f53286e3ee78,2024-09-15 20:19:00,user_0764,16.51,restaurant,0
4137e144-f04f-40c7-9a8a-a5ac427fc447,2024-05-27 10:31:00,user_0711,99.35,travel,0
6f411c25-4534-4675-8d34-8c7270b1beb0,2024-12-03 14:39:00,user_0641,40.54,restaurant,0
c8b08b0a-7256-458b-b894-12e9184b681d,2024-10-24 14:34:00,user_0263,9.64,travel,0
9cb41b54-f504-46e4-82d4-12a25f1d00fb,2024-02-29 11:48:00,user_0002,322.14,grocery,0
a6a44486-9a71-4a95-b598-d8c70ffbf683,2024-06-08 12:58:00,user_0009,182.01,grocery,0
99c811ad-b623-4d6b-ac6f-da97e018c33a,2024-05-31 10:53:00,user_0120,103.56,grocery,0
46417938-b9e1-4728-bebd-ca0c6b97f827,2024-04-13 15:19:00,user_0254,7.03,restaurant,0
79d0bb3d-4635-4984-acfe-cdd456e6e46d,2024-12-14 16:17:00,user_0896,225.25,online_retail,0
a2bc002f-e7f8-4286-92da-d16ef6032352,2024-06-17 20:35:00,user_0161,94.19,travel,0
1dae84c4-6532-4145-a80c-615cf8bc6279,2024-05-14 11:02:00,user_0401,31.49,entertainment,0
3411e815-3b4f-42d4-b649-6a83f549829f,2024-01-22 10:45:00,user_0670,7.87,online_retail,0
24778219-1ea3-4e16-9f28-b85b4425c210,2024-10-09 15:26:00,user_0226,53.36,gas_station,0
80d99ab5-eccd-413c-8cc2-624919bd2601,2024-11-12 08:47:00,user_0659,68.81,travel,0
1e09d324-0568-442b-98f8-e0fb4c4bba52,2024-06-20 08:27:00,user_0158,82.96,gas_station,0
c5c05eb5-b40f-4c87-a8b8-028a938828dc,2024-08-20 19:36:00,user_0280,171.99,gas_station,0
aa359ba6-40a3-4a12-aac0-147b3b39d4ef,2024-07-06 10:32:00,user_0116,272.07,pharmacy,0
